policy,family,quantile,forecast_metric_name,forecast_metric_value,total_cost,stockout_rate,fill_rate,point_mae_raw,point_mae_rounded,baseline_mae,quantile_pinball_loss,quantile_median_mae_raw,quantile_median_mae_rounded,coverage_q0.1,coverage_q0.5,coverage_q0.9,interval_10_90_coverage
baseline,baseline,,MAE,0.9488348364830017,5673.0,0.29584599797365757,0.3204578,0.7366349697113037,0.7016210556030273,0.9488348364830017,0.23094841837882996,0.7273750305175781,0.7077000737190247,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
point_tcn,point,,MAE_raw,0.7366349697113037,6777.0,0.4138804457953394,0.03576538,0.7366349697113037,0.7016210556030273,0.9488348364830017,0.23094841837882996,0.7273750305175781,0.7077000737190247,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
quantile_q0.1,quantile,0.1,policy_MAE,0.7082067131996155,6990.0,0.4270516717325228,0.0,0.7366349697113037,0.7016210556030273,0.9488348364830017,0.23094841837882996,0.7273750305175781,0.7077000737190247,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
quantile_q0.5,quantile,0.5,policy_MAE,0.7077000737190247,6973.0,0.4265450861195542,0.0028612304,0.7366349697113037,0.7016210556030273,0.9488348364830017,0.23094841837882996,0.7273750305175781,0.7077000737190247,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
quantile_q0.9,quantile,0.9,policy_MAE,1.6053698062896729,3969.0,0.06433637284701114,0.8569385,0.7366349697113037,0.7016210556030273,0.9488348364830017,0.23094841837882996,0.7273750305175781,0.7077000737190247,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
