model,mae_raw,mae_rounded,pinball_loss,coverage_q0.1,coverage_q0.5,coverage_q0.9,interval_10_90_coverage
baseline,1.4134513139724731,1.4134513139724731,,,,,
point_tcn,1.0788136720657349,1.0629065036773682,,,,,
quantile_tcn_median,1.078203797340393,1.0628515481948853,0.3471197187900543,0.09860771273814752,0.5388251040424954,0.9094778007821486,0.8108700880440011
