model,mae_raw,mae_rounded,pinball_loss,coverage_q0.1,coverage_q0.5,coverage_q0.9,interval_10_90_coverage
baseline,0.9488348364830017,0.9488348364830017,,,,,
point_tcn,0.7366349697113037,0.7016210556030273,,,,,
quantile_tcn_median,0.7273750305175781,0.7077000737190247,0.23094841837882996,0.08156028368794327,0.5081053698074974,0.8794326241134752,0.7978723404255319
